name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Almond Harmony,It is the unexpected that comes to live.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_ALMOND-HARMOY-600x600.jpg,House of Oud,"[""orange blossom almond""]","[""iris jasmine heliotrope ylang-ylang""]","[""tolu balsam tonka bean musk vanilla peru balsam burma oud""]",https://thoo.it/product/almond-harmony/
Cypress Shade,The symbol of eternity and beauty.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_CYPRESS-SHADE-600x600.jpg,House of Oud,"[""lemon bergamot badiane mandarin""]","[""petit-grain mimosa coriander mint""]","[""cedar wood from madagascar vetiver irian oud""]",https://thoo.it/product/cypress-shade/
Grape Pearls,It is the song of life and the positive energy that vibrates within.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_GRAPE-PEARLS-600x600.jpg,House of Oud,"[""floral velvety bouquet frozen blueberry""]","[""rose grape pearl"", ""leaf coffee bean""]","[""amber vanilla white musk kalimantan oud""]",https://thoo.it/product/grape-pearls/
Dates Delight,Whispers to the heart of those capable of hearing the voice of love.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_DATES-DELIGHT-600x600.jpg,House of Oud,"[""peony infusion of riyadh date""]","[""cumarin caramel tonka bean cinnamon""]","[""honey labdanum benzoin icing sugar accord kalimantan oud""]",https://thoo.it/product/dates-delight/
Empathy,The storytelling of an istant. Our bubble of perfection.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_EMPATHY-600x600.jpg,House of Oud,"[""pear blossom raspberry flower indian davana""]","[""fruity tobacco infusion of raspberry""]","[""scorched wood transparent moss benzoin silver fir irian oud""]",https://thoo.it/product/empathy/
L’Explicite,"L’Explicite: the pleasure of a forbidden fruit, in a new, irresistible form.",https://thoo.it/wp-content/uploads/LExplicite-Flacone-1180-by-1180-px-600x600.jpg,House of Oud,"[""lemon zest ylang ylang""]","[""banana bread peanut butter warm spices""]","[""violet amber fruity musks""]",https://thoo.it/product/lexplicite/
Dear Karma,An astonishing shot.,https://thoo.it/wp-content/uploads/Dear-Karma-Flacone-1180-by-1180-px-600x600.jpg,House of Oud,"[""frozen absinthe incense neroli rose""]","[""sugar brul\u00e8 saffron patchouli myrrh""]","[""leathery accord vetiver ambergris musc""]",https://thoo.it/product/dear-karma/
Guilty Crush,Love at first sight.,https://thoo.it/wp-content/uploads/GuiltyCrush-2-2-600x601.jpg,House of Oud,"[""champagne black cherry wild strawberry""]","[""rose lipstick accord jasmine""]","[""vanilla cedarwood benzoin creamy musc""]",https://thoo.it/product/guilty-crush/
BonBon Pop,A fairground of sweetness. Delicious.,https://thoo.it/wp-content/uploads/bonbon-pop-1-600x601.png,House of Oud,"[""bergamot white peach coconut""]","[""jasmine patchouli""]","[""brown sugar precious woods dry amber musc""]",https://thoo.it/product/bonbon/
WabiSabi,The impermanent and imperfection of things. Philosophical.,https://thoo.it/wp-content/uploads/wabisabi-1-600x600.jpg,House of Oud,"[""wasabi accord bergamot pink pepper lime leaf pear accord""]","[""turkish rose jasmine sambac jasmine ylang ylang geranium elemi""]","[""vanilla cinnamon peel musc""]",https://thoo.it/product/wabisabi/
Gambling,The game on the rocks. Adrenalinic.,https://thoo.it/wp-content/uploads/gambling-1-600x600.jpg,House of Oud,"[""peat whisky accord adrenaline accord bergamot sichuan pepper coffee""]","[""lentisco cypress galbanum elemi""]","[""vetiver cedarwood guaiac wood ambretta seed benzoin amyris musc""]",https://thoo.it/product/gambling/
